epoch,weighted_total_loss,unweighted_loss_nar,unweighted_loss_ar
0,7.128954862191425,4.7363936329275615,2.392561225387139
1,6.546321896033558,4.23023356848616,2.3160883430542984
2,6.151872784141602,3.8375437850874614,2.3143290126226783
3,5.849822083139808,3.5398141950126587,2.3100078774661554
4,5.596507163551765,3.290897823930756,2.305609339621009
5,5.381816588766206,3.079383291849276,2.3024332823792126
6,5.196869173670203,2.8980225004800935,2.2988466567140287
7,5.0348367671656415,2.739073518815079,2.295763244473837
8,4.888604090465763,2.5959752042119097,2.2926288978840277
9,4.7557714373115605,2.466777249080379,2.288994182416094
10,4.636298435490306,2.3511483572362883,2.2851500821307424
11,4.527021204552999,2.245587846127952,2.281433371993584
